".rownames","t","y","estimate","Resid"
"R1",1748,-0.47384789141098,-0.433218318484597,-0.0406295729263834
"R1",1749,-0.47384789141098,-0.418695127266131,-0.0551527641448492
"R1",1750,-0.47384789141098,-0.394985345475739,-0.078862545935241
"R1",1751,-0.47384789141098,-0.39540720171488,-0.0784406896960997
"R1",1752,-0.47384789141098,-0.384545871246095,-0.0893020201648852
"R1",1753,-0.47384789141098,-0.386148231835324,-0.0876996595756566
"R1",1754,-0.47384789141098,-0.396091683323847,-0.077756208087133
"R1",1755,-0.47384789141098,-0.409192716247813,-0.0646551751631668
"R1",1756,-0.47384789141098,-0.417412504671976,-0.0564353867390041
"R1",1757,-0.47384789141098,-0.420466174207163,-0.0533817172038171
"R1",1758,-0.47384789141098,-0.40791402460155,-0.0659338668094306
"R1",1759,-0.47384789141098,-0.400611896088202,-0.0732359953227779
"R1",1760,-0.47384789141098,-0.415567581738354,-0.058280309672626
"R1",1761,-0.47384789141098,-0.426429198510056,-0.047418692900924
"R1",1762,-0.47384789141098,-0.429147805887622,-0.044700085523358
"R1",1763,-0.47384789141098,-0.437279306610408,-0.0365685848005725
"R1",1764,-0.47384789141098,-0.453989393323914,-0.0198584980870664
"R1",1765,-0.47384789141098,-0.435395336278942,-0.038452555132038
"R1",1766,-0.47384789141098,-0.417279811627031,-0.0565680797839493
"R1",1767,-0.47384789141098,-0.408632267300418,-0.0652156241105618
"R1",1768,-0.47384789141098,-0.420577059571774,-0.0532708318392061
"R1",1769,-0.47384789141098,-0.434780685411318,-0.0390672059996622
"R1",1770,-0.47384789141098,-0.433172213978132,-0.0406756774328483
"R1",1771,-0.47384789141098,-0.429785941931972,-0.0440619494790086
"R1",1772,-0.47384789141098,-0.413393855956769,-0.0604540354542115
"R1",1773,-0.188131715119655,-0.403365100411587,0.215233385291932
"R1",1774,0.0975844611716705,-0.173006279993039,0.270590741164709
"R1",1775,0.0975844611716705,0.0908261147811931,0.00675834639047743
"R1",1776,0.169013505244502,0.124862110039423,0.0441513952050785
"R1",1777,-0.47384789141098,0.0834136700451187,-0.557261561456099
"R1",1778,-0.47384789141098,-0.300077046932453,-0.173770844478527
"R1",1779,-0.47384789141098,-0.366925925662507,-0.106921965748473
"R1",1780,-0.47384789141098,-0.374774450731519,-0.0990734406794609
"R1",1781,-0.47384789141098,-0.374214964503485,-0.0996329269074954
"R1",1782,-0.283370440550097,-0.378895380672273,0.0955249401221764
"R1",1783,-0.45003821005337,-0.226511394784486,-0.223526815268884
"R1",1784,-0.47384789141098,-0.329706018069963,-0.144141873341017
"R1",1785,-0.47384789141098,-0.359970734675605,-0.113877156735375
