"Date","DivName","MnDischarge_cfs"
2002-12-27,"BELCN",0
2002-12-28,"BELCN",0
2002-12-29,"BELCN",0
2002-12-30,"BELCN",0
2002-12-31,"BELCN",0
2003-01-01,"BELCN",0
2003-01-02,"BELCN",0
2003-01-03,"BELCN",0
2003-01-04,"BELCN",0
2003-01-05,"BELCN",0
2003-01-06,"BELCN",0
2003-01-07,"BELCN",0
2003-01-08,"BELCN",0
2003-01-09,"BELCN",0
2003-01-10,"BELCN",0
2003-01-11,"BELCN",0
2003-01-12,"BELCN",0
2003-01-13,"BELCN",0
2003-01-14,"BELCN",0
2003-01-15,"BELCN",0
2003-01-16,"BELCN",0
2003-01-17,"BELCN",0
2003-01-18,"BELCN",0
2003-01-19,"BELCN",0
2003-01-20,"BELCN",0
2003-01-21,"BELCN",0
2003-01-22,"BELCN",0
2003-01-23,"BELCN",0
2003-01-24,"BELCN",0
2003-01-25,"BELCN",0
2003-01-26,"BELCN",0
2003-01-27,"BELCN",0
2003-01-28,"BELCN",0
2003-01-29,"BELCN",0
2003-01-30,"BELCN",0
2003-01-31,"BELCN",0
2003-02-01,"BELCN",0
2003-02-02,"BELCN",0
2003-02-03,"BELCN",0
2003-02-04,"BELCN",0
2003-02-05,"BELCN",0
2003-02-06,"BELCN",0
2003-02-07,"BELCN",0
2003-02-08,"BELCN",0
2003-02-09,"BELCN",0
2003-02-10,"BELCN",0
2003-02-11,"BELCN",0
2003-02-12,"BELCN",0
2003-02-13,"BELCN",0
2003-02-14,"BELCN",0
2003-02-15,"BELCN",0
2003-02-16,"BELCN",0
2003-02-17,"BELCN",0
2003-02-18,"BELCN",0
2003-02-19,"BELCN",0
2003-02-20,"BELCN",0
2003-02-21,"BELCN",0
2003-02-22,"BELCN",0
2003-02-23,"BELCN",0
2003-02-24,"BELCN",69.2291666666667
2003-02-25,"BELCN",130
2003-02-26,"BELCN",79.8541666666667
2003-02-27,"BELCN",72.6041666666667
2003-02-28,"BELCN",73.4583333333333
2003-03-01,"BELCN",72.5833333333333
2003-03-02,"BELCN",81.8541666666667
2003-03-03,"BELCN",111.479166666667
2003-03-04,"BELCN",107.3125
2003-03-05,"BELCN",107.9375
2003-03-06,"BELCN",133.75
2003-03-07,"BELCN",115.36170212766
2003-03-08,"BELCN",165.541666666667
2003-03-09,"BELCN",132.854166666667
2003-03-10,"BELCN",131.041666666667
2003-03-11,"BELCN",133.3125
2003-03-12,"BELCN",134.645833333333
2003-03-13,"BELCN",134.297872340426
2003-03-14,"BELCN",139.104166666667
2003-03-15,"BELCN",177.854166666667
2003-03-16,"BELCN",198.708333333333
2003-03-17,"BELCN",201.229166666667
2003-03-18,"BELCN",200.75
2003-03-19,"BELCN",187.5625
2003-03-20,"BELCN",135
2003-03-21,"BELCN",162.3125
2003-03-22,"BELCN",144.916666666667
2003-03-23,"BELCN",155.75
2003-03-24,"BELCN",153.375
2003-03-25,"BELCN",153
2003-03-26,"BELCN",173.125
2003-03-27,"BELCN",169.914893617021
2003-03-28,"BELCN",168.958333333333
2003-03-29,"BELCN",168.020833333333
2003-03-30,"BELCN",166.833333333333
2003-03-31,"BELCN",166.375
2003-04-01,"BELCN",165.833333333333
2003-04-02,"BELCN",185.625
2003-04-03,"BELCN",158.75
2003-04-04,"BELCN",110.9375
2003-04-05,"BELCN",131.770833333333
2003-04-06,"BELCN",144.304347826087
2003-04-07,"BELCN",138.333333333333
2003-04-08,"BELCN",135.020833333333
2003-04-09,"BELCN",138.208333333333
2003-04-10,"BELCN",136.729166666667
2003-04-11,"BELCN",133.916666666667
2003-04-12,"BELCN",124.5
2003-04-13,"BELCN",127.5
2003-04-14,"BELCN",131.395833333333
2003-04-15,"BELCN",134.8125
2003-04-16,"BELCN",149.416666666667
2003-04-17,"BELCN",222.479166666667
2003-04-18,"BELCN",270.229166666667
2003-04-19,"BELCN",220.333333333333
2003-04-20,"BELCN",218.916666666667
2003-04-21,"BELCN",221.604166666667
2003-04-22,"BELCN",217.9375
2003-04-23,"BELCN",214.916666666667
2003-04-24,"BELCN",214.645833333333
2003-04-25,"BELCN",217.75
2003-04-26,"BELCN",216.25
2003-04-27,"BELCN",210.041666666667
2003-04-28,"BELCN",209.854166666667
2003-04-29,"BELCN",211.4375
2003-04-30,"BELCN",216.979166666667
2003-05-01,"BELCN",227.354166666667
2003-05-02,"BELCN",227.291666666667
2003-05-03,"BELCN",230.1875
2003-05-04,"BELCN",221.458333333333
2003-05-05,"BELCN",221.702127659574
2003-05-06,"BELCN",216.166666666667
2003-05-07,"BELCN",212.729166666667
2003-05-08,"BELCN",207.9375
2003-05-09,"BELCN",202.041666666667
2003-05-10,"BELCN",198.666666666667
2003-05-11,"BELCN",199.979166666667
2003-05-12,"BELCN",202.208333333333
2003-05-13,"BELCN",201.6875
2003-05-14,"BELCN",199.145833333333
2003-05-15,"BELCN",204.541666666667
2003-05-16,"BELCN",210.604166666667
2003-05-17,"BELCN",193.166666666667
2003-05-18,"BELCN",81.4166666666667
2003-05-19,"BELCN",198.729166666667
2003-05-20,"BELCN",197.020833333333
2003-05-21,"BELCN",197.75
2003-05-22,"BELCN",199.4375
2003-05-23,"BELCN",199.604166666667
2003-05-24,"BELCN",196.708333333333
2003-05-25,"BELCN",194.25
2003-05-26,"BELCN",197.166666666667
2003-05-27,"BELCN",206.729166666667
2003-05-28,"BELCN",205.979166666667
2003-05-29,"BELCN",204.872340425532
2003-05-30,"BELCN",204.25
2003-05-31,"BELCN",199.375
2003-06-01,"BELCN",195.125
2003-06-02,"BELCN",195.875
2003-06-03,"BELCN",197.666666666667
2003-06-04,"BELCN",201.958333333333
2003-06-05,"BELCN",199.395833333333
2003-06-06,"BELCN",192.354166666667
2003-06-07,"BELCN",192.083333333333
2003-06-08,"BELCN",190.166666666667
2003-06-09,"BELCN",191.020833333333
2003-06-10,"BELCN",189.208333333333
2003-06-11,"BELCN",189.541666666667
2003-06-12,"BELCN",190.6875
2003-06-13,"BELCN",194.354166666667
2003-06-14,"BELCN",195.145833333333
2003-06-15,"BELCN",198.229166666667
2003-06-16,"BELCN",200.553191489362
2003-06-17,"BELCN",202.729166666667
2003-06-18,"BELCN",203.125
2003-06-19,"BELCN",201.8125
2003-06-20,"BELCN",203.270833333333
2003-06-21,"BELCN",199.354166666667
2003-06-22,"BELCN",197.75
2003-06-23,"BELCN",197.625
2003-06-24,"BELCN",193.145833333333
2003-06-25,"BELCN",194.229166666667
2003-06-26,"BELCN",195.25
2003-06-27,"BELCN",199.958333333333
2003-06-28,"BELCN",199.104166666667
2003-06-29,"BELCN",199.104166666667
2003-06-30,"BELCN",173.104166666667
2003-07-01,"BELCN",144.714285714286
2003-07-02,"BELCN",123.48275862069
2003-07-03,"BELCN",123.583333333333
2003-07-04,"BELCN",125.3125
2003-07-05,"BELCN",124.625
2003-07-06,"BELCN",123.75
2003-07-07,"BELCN",174.666666666667
2003-07-08,"BELCN",205.645833333333
2003-07-09,"BELCN",202.78125
2003-07-10,"BELCN",205.777777777778
2003-07-11,"BELCN",214.354166666667
2003-07-12,"BELCN",222.9375
2003-07-13,"BELCN",224.375
2003-07-14,"BELCN",225.375
2003-07-15,"BELCN",222.479166666667
2003-07-16,"BELCN",222.5625
2003-07-17,"BELCN",224.125
2003-07-18,"BELCN",223.166666666667
2003-07-19,"BELCN",224.166666666667
2003-07-20,"BELCN",224
2003-07-21,"BELCN",226.020833333333
2003-07-22,"BELCN",226.104166666667
2003-07-23,"BELCN",223.416666666667
2003-07-24,"BELCN",221.208333333333
2003-07-25,"BELCN",222
2003-07-26,"BELCN",221.6875
2003-07-27,"BELCN",221.354166666667
2003-07-28,"BELCN",219.4375
2003-07-29,"BELCN",199.404255319149
2003-07-30,"BELCN",181.729166666667
2003-07-31,"BELCN",183.104166666667
2003-08-01,"BELCN",194.0625
2003-08-02,"BELCN",202.5625
2003-08-03,"BELCN",205
2003-08-04,"BELCN",204.625
2003-08-05,"BELCN",205.416666666667
2003-08-06,"BELCN",203.979166666667
2003-08-07,"BELCN",203.270833333333
2003-08-08,"BELCN",163.68085106383
2003-08-09,"BELCN",130.770833333333
2003-08-10,"BELCN",130.270833333333
2003-08-11,"BELCN",129.854166666667
2003-08-12,"BELCN",127.291666666667
2003-08-13,"BELCN",127.145833333333
2003-08-14,"BELCN",125.479166666667
2003-08-15,"BELCN",124.895833333333
2003-08-16,"BELCN",125
2003-08-17,"BELCN",232.965517241379
2003-08-18,"BELCN",234.928571428571
2003-08-19,"BELCN",228.775
2003-08-20,"BELCN",223.5
2003-08-21,"BELCN",215.041666666667
2003-08-22,"BELCN",212.441860465116
2003-08-23,"BELCN",214.083333333333
2003-08-24,"BELCN",218.604166666667
2003-08-25,"BELCN",220.291666666667
2003-08-26,"BELCN",219.191489361702
2003-08-27,"BELCN",218.666666666667
2003-08-28,"BELCN",218.729166666667
2003-08-29,"BELCN",166.604166666667
2003-08-30,"BELCN",130.770833333333
2003-08-31,"BELCN",97.9166666666667
2003-09-01,"BELCN",113.333333333333
2003-09-02,"BELCN",71.4166666666667
2003-09-03,"BELCN",37.7916666666667
2003-09-04,"BELCN",37.1041666666667
2003-09-05,"BELCN",35.9791666666667
2003-09-06,"BELCN",71.8333333333333
2003-09-07,"BELCN",81.125
2003-09-08,"BELCN",81.9583333333333
2003-09-09,"BELCN",114.083333333333
2003-09-10,"BELCN",141.75
2003-09-11,"BELCN",141.854166666667
2003-09-12,"BELCN",148.882352941176
2003-09-13,"BELCN",NA
2003-09-14,"BELCN",NA
2003-09-15,"BELCN",145.818181818182
2003-09-16,"BELCN",90.5625
2003-09-17,"BELCN",30.625
2003-09-18,"BELCN",30.0625
2003-09-19,"BELCN",29.6458333333333
2003-09-20,"BELCN",29.375
2003-09-21,"BELCN",29.5833333333333
2003-09-22,"BELCN",26.625
2003-09-23,"BELCN",12
2003-09-24,"BELCN",12
2003-09-25,"BELCN",12
2003-09-26,"BELCN",12
2003-09-27,"BELCN",12
2003-09-28,"BELCN",12
2003-09-29,"BELCN",12
2003-09-30,"BELCN",12
2003-10-01,"BELCN",12
2003-10-02,"BELCN",12
2003-10-03,"BELCN",12
2003-10-04,"BELCN",12
2003-10-05,"BELCN",12
2003-10-06,"BELCN",25.8958333333333
2003-10-07,"BELCN",65.3404255319149
2003-10-08,"BELCN",37.5208333333333
2003-10-09,"BELCN",13
2003-10-10,"BELCN",13
2003-10-11,"BELCN",13
2003-10-12,"BELCN",13
2003-10-13,"BELCN",52.3958333333333
2003-10-14,"BELCN",77.0833333333333
2003-10-15,"BELCN",80.1666666666667
2003-10-16,"BELCN",81.1458333333333
2003-10-17,"BELCN",79.6458333333333
2003-10-18,"BELCN",45.8333333333333
2003-10-19,"BELCN",14
2003-10-20,"BELCN",14
2003-10-21,"BELCN",14
2003-10-22,"BELCN",14
2003-10-23,"BELCN",14
2003-10-24,"BELCN",14
2003-10-25,"BELCN",14
2003-10-26,"BELCN",14
2003-10-27,"BELCN",14
2003-10-28,"BELCN",14
2003-10-29,"BELCN",14
2003-10-30,"BELCN",14
2003-10-31,"BELCN",14
2003-11-01,"BELCN",14
2003-11-02,"BELCN",14
2003-11-03,"BELCN",14
2003-11-04,"BELCN",14
2003-11-05,"BELCN",14
2003-11-06,"BELCN",14
2003-11-07,"BELCN",14
2003-11-08,"BELCN",14
2003-11-09,"BELCN",14
2003-11-10,"BELCN",14
2003-11-11,"BELCN",19.8541666666667
2003-11-12,"BELCN",29.7916666666667
2003-11-13,"BELCN",5.41304347826087
2003-11-14,"BELCN",4.02083333333333
2003-11-15,"BELCN",4
2003-11-16,"BELCN",4
2003-11-17,"BELCN",4
2003-11-18,"BELCN",4
2003-11-19,"BELCN",4
2003-11-20,"BELCN",4
2003-11-21,"BELCN",4
2003-11-22,"BELCN",4
2003-11-23,"BELCN",4
2003-11-24,"BELCN",4
2003-11-25,"BELCN",4
2003-11-26,"BELCN",4
2003-11-27,"BELCN",4
2003-11-28,"BELCN",4
